fieldsite,category1,category2,response_site1,response_site2,slow1,slow2,date,collect_time
castro_res,diverse,normative,castro,marina,0.0,0.0,11/14/2025,15:20:51
castro_res,gay,normative,castro,marina,1.0,0.0,11/14/2025,15:24:01
castro_res,gay,normative,castro,marina,0.0,1.0,11/14/2025,15:35:56
castro_res,other,gentrified,castro,marina,1.0,0.0,11/14/2025,15:37:37
castro_res,diverse,gentrified,castro,marina,0.0,1.0,11/14/2025,16:05:23
castro_res,community,young,castro,marina,1.0,1.0,11/14/2025,16:06:02
castro_res,fun,boring,castro,marina,0.0,1.0,11/14/2025,16:06:11
castro_res,gay,gentrified,castro,marina,0.0,0.0,11/14/2025,16:06:40
castro_res,fun,bad,castro,marina,0.0,0.0,11/14/2025,16:07:11
castro_res,other,boring,castro,marina,0.0,0.0,11/14/2025,16:07:48
castro_res,fun,antitask,castro,marina,0.0,1.0,11/14/2025,16:08:30
castro_res,boring,boring,castro,marina,0.0,1.0,11/14/2025,16:09:06
castro_res,diverse,antitask,castro,marina,0.0,0.0,11/14/2025,16:10:02
castro_res,fun,gentrified,castro,marina,0.0,1.0,11/14/2025,16:10:39
castro_res,fun,normative,castro,marina,0.0,1.0,11/14/2025,16:10:57
castro_res,fun,antitask,castro,marina,0.0,1.0,11/14/2025,16:13:27
castro_res,open,nice,castro,marina,1.0,0.0,11/14/2025,16:14:00
castro_res,gay,normative,castro,marina,0.0,0.0,11/14/2025,16:14:08
castro_res,fun,other,castro,marina,0.0,1.0,11/14/2025,16:15:55
castro_res,community,antitask,castro,marina,0.0,1.0,11/14/2025,16:16:19
castro_res,gay,young,castro,marina,0.0,1.0,11/14/2025,16:16:25
castro_res,fun,other,castro,marina,0.0,1.0,11/14/2025,16:17:32
castro_res,diverse,antitask,castro,marina,0.0,0.0,11/14/2025,16:20:15
castro_res,diverse,gentrified,castro,marina,1.0,1.0,11/14/2025,16:20:30
castro_res,nice,antitask,castro,marina,0.0,0.0,11/14/2025,16:22:46
castro_res,gay,gentrified,castro,marina,1.0,0.0,11/14/2025,16:23:56
castro_res,nice,gentrified,castro,marina,0.0,0.0,11/14/2025,16:25:32
castro_res,fun,antitask,castro,marina,0.0,0.0,11/14/2025,16:26:38
castro_res,gay,other,castro,marina,0.0,1.0,11/14/2025,16:26:39
castro_res,fun,gentrified,castro,marina,0.0,0.0,11/14/2025,16:28:04
castro_res,fun,normative,castro,marina,0.0,0.0,11/14/2025,16:28:12
castro_res,fun,antitask,castro,marina,0.0,0.0,11/14/2025,16:28:45
castro_res,special,antitask,castro,marina,0.0,0.0,11/14/2025,16:29:58
castro_res,community,young,castro,marina,0.0,1.0,11/14/2025,16:30:11
castro_res,community,normative,castro,marina,0.0,1.0,11/14/2025,16:30:52
castro_res,gay,gentrified,castro,marina,0.0,1.0,11/14/2025,16:32:19
castro_res,fun,antitask,castro,marina,0.0,0.0,11/14/2025,16:33:00
castro_res,nice,bad,castro,marina,0.0,0.0,11/14/2025,16:33:26
castro_res,normative,boring,castro,marina,0.0,0.0,11/14/2025,16:33:45
castro_res,community,other,castro,marina,0.0,0.0,11/14/2025,16:38:15
castro_res,gay,young,castro,marina,0.0,1.0,11/14/2025,16:38:16
castro_res,bad,bad,castro,marina,0.0,0.0,11/14/2025,16:39:00
castro_res,community,geography,castro,marina,0.0,1.0,11/14/2025,16:39:13
castro_res,nice,boring,castro,marina,0.0,0.0,11/14/2025,16:39:37
castro_res,nice,nice,castro,marina,0.0,0.0,11/14/2025,16:41:08
castro_res,special,gentrified,castro,marina,0.0,1.0,11/14/2025,16:41:28
castro_res,community,bad,castro,marina,1.0,1.0,11/14/2025,16:44:22
castro_res,other,normative,castro,marina,0.0,1.0,11/14/2025,16:45:21
castro_res,fun,gentrified,castro,marina,1.0,0.0,11/14/2025,16:45:23
castro_res,gay,boring,castro,marina,0.0,0.0,11/14/2025,16:46:04
castro_res,community,geography,castro,marina,0.0,0.0,11/14/2025,16:46:25
castro_res,community,chaotic,castro,marina,0.0,1.0,11/14/2025,16:47:23
castro_res,other,boring,castro,marina,0.0,0.0,11/14/2025,16:50:01
castro_res,fun,antitask,castro,marina,0.0,0.0,11/14/2025,16:50:05
castro_res,fun,sexual,castro,marina,0.0,1.0,11/14/2025,16:51:48
castro_res,diverse,gentrified,castro,marina,0.0,0.0,11/14/2025,16:52:23
castro_res,nice,other,castro,marina,0.0,1.0,11/14/2025,16:52:28
castro_res,special,gentrified,castro,marina,0.0,1.0,11/14/2025,16:54:20
castro_res,fun,gentrified,castro,marina,0.0,0.0,11/14/2025,16:54:28
castro_res,fun,institutions,castro,marina,0.0,1.0,11/14/2025,16:55:56
castro_res,diverse,other,castro,marina,0.0,1.0,11/14/2025,16:57:09
castro_res,fun,gentrified,castro,marina,0.0,0.0,11/14/2025,16:58:26
castro_res,special,nice,castro,marina,0.0,1.0,11/14/2025,16:58:31
castro_res,fun,gentrified,castro,marina,0.0,1.0,11/14/2025,17:00:02
castro_res,fun,antitask,castro,marina,0.0,0.0,11/14/2025,17:00:10
castro_res,fun,antitask,castro,marina,0.0,0.0,11/14/2025,17:00:52
castro_res,fun,special,castro,marina,0.0,1.0,11/14/2025,17:00:55
castro_res,institutions,antitask,castro,marina,0.0,1.0,11/14/2025,17:01:58
castro_res,gay,gritty,castro,marina,0.0,0.0,11/14/2025,17:02:42
castro_res,fun,antitask,castro,marina,0.0,0.0,11/14/2025,17:03:22
castro_res,nice,normative,castro,marina,0.0,1.0,11/14/2025,17:03:38
castro_res,gay,gentrified,castro,marina,0.0,1.0,11/14/2025,17:04:56
castro_res,fun,nice,castro,marina,1.0,0.0,11/14/2025,17:05:35
